AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,1014.750115,1190,1000
2,1024.709596,1326,1000
4,1323.537550,1242,1000
8,1209.441553,1387,1000
16,1259.293598,1498,1000
32,1209.355534,1603,1000
64,1215.716089,1657,1000
128,1170.408513,1734,1000
256,1209.585938,1720,1000
512,1189.180895,1765,1000
1024,1075.463590,1965,1000
2048,1102.204080,1926,1000
4096,801.878681,1328,1000
8192,1101.298166,1938,1000
16384,783.338521,1365,1000
32768,1045.244664,1024,1000
65536,736.913701,1454,1000
131072,947.797633,1131,1000
