AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,880.236019,1219,1000
2,289.692301,1751,1000
4,235.554415,1139,1000
8,231.151755,1097,1000
16,224.483402,1195,1000
32,249.529513,1063,1000
64,234.054286,1146,1000
128,272.630654,1947,1000
256,244.839312,1096,1000
512,260.151850,1031,1000
1024,249.205513,1077,1000
2048,263.337826,1019,1000
4096,178.042780,1507,1000
8192,262.215267,1023,1000
16384,180.396293,1488,1000
32768,252.116592,1064,1000
65536,173.847928,1544,1000
131072,244.325489,1098,1000
