AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,1009.576717,1196,1000
2,1014.873735,1339,1000
4,1316.245629,1249,1000
8,1197.783946,1400,1000
16,1259.046628,1499,1000
32,1209.271053,1603,1000
64,1215.625894,1657,1000
128,1170.448328,1734,1000
256,1206.033749,1725,1000
512,1190.492213,1763,1000
1024,1088.218486,1942,1000
2048,1072.053170,1980,1000
4096,772.348917,1379,1000
8192,1080.896549,1975,1000
16384,793.081148,1348,1000
32768,1072.246358,1996,1000
65536,738.985983,1450,1000
131072,958.054318,1118,1000
