AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,950.798132,1270,1000
2,1099.213616,1236,1000
4,1138.347949,1444,1000
8,854.990626,1962,1000
16,948.443546,1990,1000
32,1021.118999,1898,1000
64,900.465777,1119,1000
128,868.715166,1168,1000
256,761.605837,1366,1000
512,747.944944,1403,1000
1024,696.393643,1517,1000
2048,718.916672,1476,1000
4096,680.934442,1564,1000
8192,124.950449,1068,1000
16384,734.503457,1456,1000
32768,76.797223,1742,1000
65536,671.119961,1596,1000
131072,656.139078,1633,1000
