ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,4255678868.684307,1009,1000
2,4305517967.780045,1995,1000
4,4550122224.947255,1887,1000
8,4515193606.563323,1902,1000
16,4560308867.452738,1883,1000
32,4611810185.252295,1862,1000
64,4322682172.750590,1987,1000
128,4330734835.002284,1983,1000
256,4330651867.387271,1983,1000
512,4334845709.100874,1981,1000
1024,4307037769.348599,1994,1000
2048,4016093761.308499,1069,1000
4096,4026764637.330595,1066,1000
8192,4026572105.721057,1066,1000
16384,4013451749.906321,1070,1000
32768,3216346274.701278,1335,1000
ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,4186793122.104194,1025,1000
2,4433283525.349131,1937,1000
4,4549900495.725762,1887,1000
8,4510094283.215075,1904,1000
16,4547301609.619390,1889,1000
32,4634897641.364105,1853,1000
64,4323215184.012337,1986,1000
128,4330911697.634518,1983,1000
256,4331735063.216582,1983,1000
512,4331697928.585441,1983,1000
1024,4249518693.572245,1010,1000
2048,4007927541.344024,1071,1000
4096,4022280791.987967,1067,1000
8192,4018754294.579272,1068,1000
16384,3985656442.150471,1077,1000
32768,3188649432.237900,1346,1000
