AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,797.015284,1515,1000
2,940.602003,1444,1000
4,991.988976,1657,1000
8,991.010668,1692,1000
16,1008.644331,1871,1000
32,1074.445796,1804,1000
64,1045.460289,1927,1000
128,1084.200615,1872,1000
256,1127.156012,1846,1000
512,1169.255453,1795,1000
1024,1120.483696,1886,1000
2048,1141.194807,1860,1000
4096,1137.505659,1873,1000
8192,651.135645,1639,1000
16384,1156.856073,1849,1000
32768,468.736834,1141,1000
65536,879.376237,1218,1000
131072,834.715565,1284,1000
