AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,1062.414128,1136,1000
2,1698.589081,1600,1000
4,1931.027026,1702,1000
8,1747.178952,1920,1000
16,1619.633620,1165,1000
32,1726.855832,1122,1000
64,1659.192512,1214,1000
128,1738.702644,1167,1000
256,1829.414895,1137,1000
512,1732.943619,1211,1000
1024,1815.749059,1164,1000
2048,1530.990834,1386,1000
4096,1498.483892,1421,1000
8192,492.137811,1084,1000
16384,1515.391019,1411,1000
32768,320.392999,1670,1000
65536,963.662495,1112,1000
131072,903.412738,1186,1000
