AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,699.690430,1726,1000
2,1710.061825,1589,1000
4,1486.235342,1106,1000
8,1112.307759,1508,1000
16,1268.022001,1488,1000
32,1361.039446,1424,1000
64,1423.688215,1415,1000
128,1428.007870,1421,1000
256,1615.259997,1288,1000
512,1565.515882,1341,1000
1024,1610.164224,1312,1000
2048,1456.251680,1458,1000
4096,1529.705623,1392,1000
8192,793.699729,1345,1000
16384,1535.849280,1392,1000
32768,580.727138,1843,1000
65536,992.219516,1080,1000
131072,931.687348,1150,1000
