AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,967.919410,1247,1000
2,1104.527655,1230,1000
4,1138.207677,1444,1000
8,855.532563,1961,1000
16,943.567429,1000,1000
32,1021.567716,1897,1000
64,907.580817,1110,1000
128,869.487603,1167,1000
256,755.643662,1376,1000
512,753.867990,1392,1000
1024,750.322370,1408,1000
2048,718.841223,1476,1000
4096,719.266481,1481,1000
8192,124.069081,1075,1000
16384,737.702188,1449,1000
32768,76.706716,1744,1000
65536,665.794198,1609,1000
131072,657.363402,1630,1000
