AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,988.659137,1221,1000
2,1288.697297,1054,1000
4,1409.905697,1166,1000
8,1253.604599,1338,1000
16,1285.808356,1467,1000
32,1365.077627,1420,1000
64,1257.754593,1602,1000
128,1388.945960,1461,1000
256,1323.540233,1572,1000
512,1149.771384,1826,1000
1024,1218.550190,1734,1000
2048,1171.651479,1812,1000
4096,1195.336104,1782,1000
8192,270.944231,1970,1000
16384,1221.168196,1751,1000
32768,170.246421,1572,1000
65536,911.084384,1176,1000
131072,852.465726,1257,1000
