ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1,12697696573.000116,1352,1000
2,10775070376.547047,1594,1000
4,8276918103.174160,1037,1000
8,6226128769.500290,1379,1000
16,5421795272.966433,1584,1000
32,5082627100.371703,1690,1000
64,4921853995.727867,1745,1000
128,4850127432.281203,1771,1000
256,4813922593.328604,1784,1000
512,4797155076.618242,1790,1000
1024,4787308459.946253,1794,1000
2048,4775751779.106177,1798,1000
4096,4776968160.347192,1798,1000
8192,4776248349.012410,1798,1000
16384,4769038319.153803,1801,1000
32768,4460570433.930088,1925,1000
