STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394217003 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],2.296860,
call count,9,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,2.296860e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,806964400
MEM_LOAD_RETIRED_L1_HIT,PMC2,617884900
MEM_LOAD_RETIRED_L2_ALL,PMC3,189079600
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,2668249000
CPU_CLK_UNHALTED_CORE,FIXC1,5476218000
CPU_CLK_UNHALTED_REF,FIXC2,5476245000
TOPDOWN_SLOTS,FIXC3,27381090000
