STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.39427486 GHz,
TABLE,Region kernel,Group 1 Raw,Custom,11
Region Info,HWThread 0,
RDTSC Runtime [s],3.218972,
call count,9,
Event,Counter,HWThread 0
Runtime (RDTSC) [s],TSC,3.218972e+00
MEM_LOAD_RETIRED_L1_ALL,PMC1,8395647000
MEM_LOAD_RETIRED_L1_HIT,PMC2,8376872000
MEM_LOAD_RETIRED_L2_ALL,PMC3,18777420
MEM_LOAD_RETIRED_L2_HIT,PMC4,0
MEM_LOAD_RETIRED_L3_ALL,PMC5,0
MEM_LOAD_RETIRED_L3_HIT,PMC6,0
INSTR_RETIRED_ANY,FIXC0,19264560000
CPU_CLK_UNHALTED_CORE,FIXC1,7681141000
CPU_CLK_UNHALTED_REF,FIXC2,7681142000
TOPDOWN_SLOTS,FIXC3,38405710000
