LOADS,HITS,HIT_RATIO,ARRAY_SIZE
9932141000,9932139000,100,1
11005880000,11005880000,100,2
13220470000,13220470000,100,4
13455350000,13455350000,100,8
15116290000,15116270000,99.9999,16
7759439000,7759137000,99.9961,32
7812283000,7514964000,96.1942,64
8107108000,7852793000,96.8631,128
2965066000,2334928000,78.7479,256
8357749000,8118135000,97.133,512
1474130000,1095314000,74.3024,1024
2883606000,1811293000,62.8135,2048
315143000,138742300,44.0252,4096
806964400,617884900,76.569,8192
362243500,188247000,51.967,16384
929209200,816453800,87.8654,32768
206724000,123519000,59.7507,65536
1097993000,501713600,45.6937,131072
