AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1024,881.125451,1370,1000
1936,1028.254486,1321,1000
4096,1092.939008,1504,1000
7744,1080.278807,1553,1000
16384,1103.904297,1709,1000
32400,951.945080,1018,1000
65536,872.541445,1154,1000
129600,812.439723,1249,1000
262144,303.053028,1716,1000
524176,592.839579,1771,1000
1048576,174.464843,1514,1000
2096704,272.008436,1951,1000
4194304,127.436067,1045,1000
8386816,116.371024,1146,1000
16777216,126.796237,1054,1000
33547264,79.011038,1693,1000
67108864,59.919195,1117,1000
134189056,156.712883,1710,1000
