AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1024,1096.363954,1101,1000
1936,1140.219372,1191,1000
4096,1152.763630,1426,1000
7744,855.735476,1960,1000
16384,943.374068,1000,1000
32400,1021.601628,1897,1000
65536,900.073276,1119,1000
129600,884.000341,1148,1000
262144,755.152258,1377,1000
524176,754.003338,1392,1000
1048576,751.040480,1407,1000
2096704,750.980173,1413,1000
4194304,668.692510,1593,1000
8386816,122.817612,1086,1000
16777216,724.841106,1475,1000
33547264,76.492481,1749,1000
67108864,659.199236,1625,1000
134189056,650.924814,1646,1000
