LOADS,HITS,HIT_RATIO,ARRAY_SIZE
9865032000,9865029000,100,1
10972330000,10972320000,99.9999,2
13203700000,13203690000,99.9999,4
13446960000,13446960000,100,8
7556058000,7556055000,100,16
15515340000,15514700000,99.9959,32
8052102000,8049370000,99.9661,64
8109106000,8107186000,99.9763,128
8321317000,8320647000,99.9919,256
8395380000,8393946000,99.9829,512
8426454000,8423630000,99.9665,1024
8467116000,8466703000,99.9951,2048
8477161000,8474022000,99.963,4096
1042537000,1042367000,99.9837,8192
8530323000,8527551000,99.9675,16384
1057125000,1057032000,99.9912,32768
8385686000,8364468000,99.747,65536
8366110000,8345090000,99.7487,131072
