AllocatedMem(GiB),MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime,Bx,By
1,51.187422,1310,1000,2,2500
1,76.498453,1753,1000,3,1666
1,102.471888,1309,1000,4,1250
1,129.482292,1036,1000,6,833
1,170.844357,1570,1000,9,555
1,215.402426,1245,1000,13,384
1,278.804020,1924,1000,19,263
1,351.875084,1524,1000,28,178
1,419.764104,1278,1000,42,119
1,534.400656,1004,1000,63,79
1,596.153175,1800,1000,94,53
1,656.586126,1634,1000,141,35
1,727.598740,1475,1000,211,23
1,817.611109,1312,1000,316,15
1,850.413512,1261,1000,474,10
1,859.667577,1248,1000,711,7
1,875.609233,1225,1000,1066,4
1,870.279690,1233,1000,1599,3
1,858.223238,1250,1000,2398,2
1,877.142126,1223,1000,3597,1
